antibiotic,genome_name,evidence,computational_method,owner,computational_method_performance,public,measurement,taxon_id,genome_id,measurement_value,measurement_unit,computational_method_version,id,date_inserted,date_modified,_version_,resistant_phenotype,laboratory_typing_method,pmid,laboratory_typing_platform,measurement_sign,vendor,testing_standard,testing_standard_year
cefoxitin,Escherichia coli W,Computational Method,MIC XGBoost Model,PATRIC@patricbrc.org,"W1 score: 0.70, CI[0.51, 0.89]",True,4.0,566546,566546.53,4.0,mg/L,202503101,f2fba406-e69e-4ce7-bc65-10a151d8bb0e,2025-07-14T21:11:15.064Z,2025-07-14T21:11:15.064Z,1837658264959975400,,,,,,,,
gentamicin,Escherichia coli W,Computational Method,MIC XGBoost Model,PATRIC@patricbrc.org,"W1 score: 0.95, CI[0.91, 0.98]",True,1.0,566546,566546.53,1.0,mg/L,202503101,43332ca2-fc67-4a9a-8233-2498f98687bf,2025-07-14T21:11:15.064Z,2025-07-14T21:11:15.064Z,1837658264959975400,,,,,,,,
imipenem,Escherichia coli W,Computational Method,MIC XGBoost Model,PATRIC@patricbrc.org,"W1 score: 0.78, CI[0.70, 0.86]",True,8.0,566546,566546.53,8.0,mg/L,202503101,f53e92a5-8ebc-40b7-a934-6d4b3a2d8b65,2025-07-14T21:11:15.064Z,2025-07-14T21:11:15.064Z,1837658264959975400,,,,,,,,
levofloxacin,Escherichia coli W,Computational Method,MIC XGBoost Model,PATRIC@patricbrc.org,"W1 score: 0.87, CI[0.81, 0.93]",True,4.0,566546,566546.53,4.0,mg/L,202503101,fa2ca7a7-a9e6-4f13-87f9-ed0af29226fa,2025-07-14T21:11:15.064Z,2025-07-14T21:11:15.064Z,1837658264959975400,,,,,,,,
meropenem,Escherichia coli W,Computational Method,MIC XGBoost Model,PATRIC@patricbrc.org,"W1 score: 0.95, CI[0.93, 0.98]",True,0.25,566546,566546.53,0.25,mg/L,202503101,de5a461a-dcb2-49f7-bb5a-eae0729063a2,2025-07-14T21:11:15.064Z,2025-07-14T21:11:15.064Z,1837658264959975400,,,,,,,,
nalidixic acid,Escherichia coli W,Computational Method,MIC XGBoost Model,PATRIC@patricbrc.org,"W1 score: 0.64, CI[0.33, 0.95]",True,8.0,566546,566546.53,8.0,mg/L,202503101,4f5adac3-5e6d-4983-93ca-aceecefc34a3,2025-07-14T21:11:15.064Z,2025-07-14T21:11:15.064Z,1837658264959975400,,,,,,,,
nitrofurantoin,Escherichia coli W,Computational Method,MIC XGBoost Model,PATRIC@patricbrc.org,"W1 score: 0.95, CI[0.90, 1.01]",True,16.0,566546,566546.53,16.0,mg/L,202503101,1c119803-490d-47e2-b34e-61c975ab0086,2025-07-14T21:11:15.064Z,2025-07-14T21:11:15.064Z,1837658264959975400,,,,,,,,
piperacillin,Escherichia coli W,Computational Method,MIC XGBoost Model,PATRIC@patricbrc.org,"W1 score: 0.73, CI[0.39, 1.08]",True,4.0,566546,566546.53,4.0,mg/L,202503101,76c90047-54a5-4b6a-ac58-8ff562e42774,2025-07-14T21:11:15.064Z,2025-07-14T21:11:15.064Z,1837658264959975400,,,,,,,,
ampicillin/sulbactam,Escherichia coli W,Computational Method,MIC XGBoost Model,PATRIC@patricbrc.org,"W1 score: 0.90, CI[0.82, 0.98]",True,8.0,566546,566546.53,8.0,mg/L,202503101,f59b272a-b89e-4dab-9af3-ec60d3dbd147,2025-07-14T21:11:15.064Z,2025-07-14T21:11:15.064Z,1837658264959975400,,,,,,,,
streptomycin,Escherichia coli W,Computational Method,MIC XGBoost Model,PATRIC@patricbrc.org,"W1 score: 0.96, CI[0.90, 1.03]",True,32.0,566546,566546.53,32.0,mg/L,202503101,f4f8ae8f-40a2-4c42-8339-ad6dad41127b,2025-07-14T21:11:15.064Z,2025-07-14T21:11:15.064Z,1837658264959975400,,,,,,,,
tetracycline,Escherichia coli W,Computational Method,MIC XGBoost Model,PATRIC@patricbrc.org,"W1 score: 0.79, CI[0.71, 0.87]",True,2.0,566546,566546.53,2.0,mg/L,202503101,9cac9eef-1683-409b-85d2-40631909b2a6,2025-07-14T21:11:15.064Z,2025-07-14T21:11:15.064Z,1837658264961024000,,,,,,,,
tigecycline,Escherichia coli W,Computational Method,MIC XGBoost Model,PATRIC@patricbrc.org,"W1 score: 0.98, CI[0.91, 1.04]",True,0.5,566546,566546.53,0.5,mg/L,202503101,961ff864-7c4c-4075-a322-d5cd07a0bd1f,2025-07-14T21:11:15.064Z,2025-07-14T21:11:15.064Z,1837658264961024000,,,,,,,,
tobramycin,Escherichia coli W,Computational Method,MIC XGBoost Model,PATRIC@patricbrc.org,"W1 score: 0.96, CI[0.92, 1.00]",True,1.0,566546,566546.53,1.0,mg/L,202503101,3956f72a-e0e1-44b8-bba6-08a4ab728ea6,2025-07-14T21:11:15.064Z,2025-07-14T21:11:15.064Z,1837658264961024000,,,,,,,,
piperacillin/tazobactam,Escherichia coli W,Computational Method,MIC XGBoost Model,PATRIC@patricbrc.org,"W1 score: 0.93, CI[0.91, 0.95]",True,4.0,566546,566546.53,4.0,mg/L,202503101,6752f81d-24e3-42c4-8221-e889e0bf556f,2025-07-14T21:11:15.064Z,2025-07-14T21:11:15.064Z,1837658264961024000,,,,,,,,
amoxicillin/clavulanic acid,Escherichia coli W,Computational Method,SIR XGBoost Model,PATRIC@patricbrc.org,"F1 score: 0.84, CI[0.81, 0.88]",True,,566546,566546.53,,,202503101,6f08031d-629a-452e-a924-c2e6179e7239,2025-07-14T21:46:54.290Z,2025-07-14T21:46:54.290Z,1837660535318904800,Resistant,,,,,,,
ampicillin,Escherichia coli W,Computational Method,SIR XGBoost Model,PATRIC@patricbrc.org,"F1 score: 0.94, CI[0.93, 0.96]",True,,566546,566546.53,,,202503101,ce6d340e-adb5-424f-a92a-146ac571af06,2025-07-14T21:46:54.290Z,2025-07-14T21:46:54.290Z,1837660535318904800,Resistant,,,,,,,
amoxicillin,Escherichia coli W,Computational Method,SIR XGBoost Model,PATRIC@patricbrc.org,"F1 score: 0.90, CI[0.87, 0.93]",True,,566546,566546.53,,,202503101,bf827824-861a-4412-b785-5ba9436ee65d,2025-07-14T21:46:54.290Z,2025-07-14T21:46:54.290Z,1837660535318904800,Resistant,,,,,,,
aztreonam,Escherichia coli W,Computational Method,SIR XGBoost Model,PATRIC@patricbrc.org,"F1 score: 0.92, CI[0.89, 0.96]",True,,566546,566546.53,,,202503101,04d05dc4-7213-4690-b008-377d4a1a0cbb,2025-07-14T21:46:54.290Z,2025-07-14T21:46:54.290Z,1837660535318904800,Susceptible,,,,,,,
ceftazidime,Escherichia coli W,Computational Method,SIR XGBoost Model,PATRIC@patricbrc.org,"F1 score: 0.92, CI[0.90, 0.93]",True,,566546,566546.53,,,202503101,8ab55323-ec6b-423e-99b8-e97a18e606bf,2025-07-14T21:46:54.290Z,2025-07-14T21:46:54.290Z,1837660535318904800,Susceptible,,,,,,,
cefalothin,Escherichia coli W,Computational Method,SIR XGBoost Model,PATRIC@patricbrc.org,"F1 score: 0.92, CI[0.89, 0.96]",True,,566546,566546.53,,,202503101,38e5e1e5-701f-46f0-a168-837e05429afc,2025-07-14T21:46:54.290Z,2025-07-14T21:46:54.290Z,1837660535318904800,Susceptible,,,,,,,
cefazolin,Escherichia coli W,Computational Method,SIR XGBoost Model,PATRIC@patricbrc.org,"F1 score: 0.93, CI[0.86, 0.99]",True,,566546,566546.53,,,202503101,6f118fef-4ab0-46cb-b76e-1659fe08097d,2025-07-14T21:46:54.290Z,2025-07-14T21:46:54.290Z,1837660535318904800,Susceptible,,,,,,,
chloramphenicol,Escherichia coli W,Computational Method,SIR XGBoost Model,PATRIC@patricbrc.org,"F1 score: 0.96, CI[0.93, 0.99]",True,,566546,566546.53,,,202503101,d684d464-6e89-43b8-b320-7881d9064c4a,2025-07-14T21:46:54.290Z,2025-07-14T21:46:54.290Z,1837660535318904800,Susceptible,,,,,,,
ciprofloxacin,Escherichia coli W,Computational Method,SIR XGBoost Model,PATRIC@patricbrc.org,"F1 score: 0.98, CI[0.97, 0.98]",True,,566546,566546.53,,,202503101,b705f418-71b7-47d9-a16f-b5b646f98cd5,2025-07-14T21:46:54.290Z,2025-07-14T21:46:54.290Z,1837660535318904800,Susceptible,,,,,,,
ceftriaxone,Escherichia coli W,Computational Method,SIR XGBoost Model,PATRIC@patricbrc.org,"F1 score: 0.96, CI[0.92, 0.99]",True,,566546,566546.53,,,202503101,58986844-4212-46bb-930a-55b4da2f70ba,2025-07-14T21:46:54.290Z,2025-07-14T21:46:54.290Z,1837660535318904800,Susceptible,,,,,,,
cefotaxime,Escherichia coli W,Computational Method,SIR XGBoost Model,PATRIC@patricbrc.org,"F1 score: 0.96, CI[0.96, 0.97]",True,,566546,566546.53,,,202503101,381c7108-fb36-4fa0-ad09-b56406babceb,2025-07-14T21:46:54.290Z,2025-07-14T21:46:54.290Z,1837660535318904800,Susceptible,,,,,,,
cefuroxime,Escherichia coli W,Computational Method,SIR XGBoost Model,PATRIC@patricbrc.org,"F1 score: 0.88, CI[0.86, 0.90]",True,,566546,566546.53,,,202503101,b3ed830c-f0c7-4e41-ab5c-5960a4141506,2025-07-14T21:46:54.290Z,2025-07-14T21:46:54.290Z,1837660535318904800,Resistant,,,,,,,
doxycycline,Escherichia coli W,Computational Method,SIR XGBoost Model,PATRIC@patricbrc.org,"F1 score: 0.87, CI[0.80, 0.95]",True,,566546,566546.53,,,202503101,4894fa8f-fda4-4b03-a599-170fbaac1ac3,2025-07-14T21:46:54.290Z,2025-07-14T21:46:54.290Z,1837660535319953400,Susceptible,,,,,,,
ertapenem,Escherichia coli W,Computational Method,SIR XGBoost Model,PATRIC@patricbrc.org,"F1 score: 0.92, CI[0.90, 0.95]",True,,566546,566546.53,,,202503101,2f6fcfa7-602e-45ee-afca-665c00fc9ca8,2025-07-14T21:46:54.290Z,2025-07-14T21:46:54.290Z,1837660535319953400,Susceptible,,,,,,,
cefepime,Escherichia coli W,Computational Method,SIR XGBoost Model,PATRIC@patricbrc.org,"F1 score: 0.88, CI[0.84, 0.92]",True,,566546,566546.53,,,202503101,f138b0bb-cfd9-4fc9-94b0-432a9f06fe4a,2025-07-14T21:46:54.290Z,2025-07-14T21:46:54.290Z,1837660535319953400,Susceptible,,,,,,,
cefoxitin,Escherichia coli W,Computational Method,SIR XGBoost Model,PATRIC@patricbrc.org,"F1 score: 0.88, CI[0.83, 0.92]",True,,566546,566546.53,,,202503101,c4fc9cfe-b6bd-4064-9def-a91ca6b550cc,2025-07-14T21:46:54.290Z,2025-07-14T21:46:54.290Z,1837660535319953400,Susceptible,,,,,,,
gentamicin,Escherichia coli W,Computational Method,SIR XGBoost Model,PATRIC@patricbrc.org,"F1 score: 0.96, CI[0.95, 0.97]",True,,566546,566546.53,,,202503101,b875dc85-88ed-49d2-9f54-1a0c79e65f13,2025-07-14T21:46:54.290Z,2025-07-14T21:46:54.290Z,1837660535319953400,Susceptible,,,,,,,
imipenem,Escherichia coli W,Computational Method,SIR XGBoost Model,PATRIC@patricbrc.org,"F1 score: 0.96, CI[0.94, 0.98]",True,,566546,566546.53,,,202503101,adddfd5f-ff11-4f67-953a-e6d547673a7a,2025-07-14T21:46:54.290Z,2025-07-14T21:46:54.290Z,1837660535319953400,Susceptible,,,,,,,
levofloxacin,Escherichia coli W,Computational Method,SIR XGBoost Model,PATRIC@patricbrc.org,"F1 score: 0.97, CI[0.91, 1.02]",True,,566546,566546.53,,,202503101,9f9b3762-5045-417b-aae1-ca8f954102b4,2025-07-14T21:46:54.290Z,2025-07-14T21:46:54.290Z,1837660535319953400,Resistant,,,,,,,
meropenem,Escherichia coli W,Computational Method,SIR XGBoost Model,PATRIC@patricbrc.org,"F1 score: 0.76, CI[0.68, 0.84]",True,,566546,566546.53,,,202503101,e9dbc91f-6a16-4057-8d2b-ba808cb3b8e4,2025-07-14T21:46:54.290Z,2025-07-14T21:46:54.290Z,1837660535319953400,Susceptible,,,,,,,
nalidixic acid,Escherichia coli W,Computational Method,SIR XGBoost Model,PATRIC@patricbrc.org,"F1 score: 0.98, CI[0.96, 1.00]",True,,566546,566546.53,,,202503101,12c8e265-9da5-4031-b841-f7fd38af46bd,2025-07-14T21:46:54.290Z,2025-07-14T21:46:54.290Z,1837660535319953400,Resistant,,,,,,,
norfloxacin,Escherichia coli W,Computational Method,SIR XGBoost Model,PATRIC@patricbrc.org,"F1 score: 0.96, CI[0.92, 1.01]",True,,566546,566546.53,,,202503101,08820d0a-2986-454f-8e1b-a8ead4c461a1,2025-07-14T21:46:54.290Z,2025-07-14T21:46:54.290Z,1837660535319953400,Susceptible,,,,,,,
ampicillin/sulbactam,Escherichia coli W,Computational Method,SIR XGBoost Model,PATRIC@patricbrc.org,"F1 score: 0.88, CI[0.79, 0.98]",True,,566546,566546.53,,,202503101,3fd529b3-0079-4989-a09c-8cbdf2f2b183,2025-07-14T21:46:54.290Z,2025-07-14T21:46:54.290Z,1837660535319953400,Susceptible,,,,,,,
sulfamethoxazole,Escherichia coli W,Computational Method,SIR XGBoost Model,PATRIC@patricbrc.org,"F1 score: 0.93, CI[0.88, 0.99]",True,,566546,566546.53,,,202503101,b332b49f-9d6d-4de8-80c4-46fd47a33ae6,2025-07-14T21:46:54.290Z,2025-07-14T21:46:54.290Z,1837660535319953400,Resistant,,,,,,,
streptomycin,Escherichia coli W,Computational Method,SIR XGBoost Model,PATRIC@patricbrc.org,"F1 score: 0.96, CI[0.90, 1.02]",True,,566546,566546.53,,,202503101,f7cbc47f-ba66-4c2b-a629-81baa9ce9966,2025-07-14T21:46:54.290Z,2025-07-14T21:46:54.290Z,1837660535319953400,Susceptible,,,,,,,
tetracycline,Escherichia coli W,Computational Method,SIR XGBoost Model,PATRIC@patricbrc.org,"F1 score: 0.93, CI[0.89, 0.97]",True,,566546,566546.53,,,202503101,009fdcd8-9182-4993-b434-c6361e737c0f,2025-07-14T21:46:54.290Z,2025-07-14T21:46:54.290Z,1837660535319953400,Susceptible,,,,,,,
ceftiofur,Escherichia coli W,Computational Method,SIR XGBoost Model,PATRIC@patricbrc.org,"F1 score: 0.97, CI[0.88, 1.06]",True,,566546,566546.53,,,202503101,d8fc7fde-55f7-4dca-ad64-da709fcb7653,2025-07-14T21:46:54.290Z,2025-07-14T21:46:54.290Z,1837660535319953400,Susceptible,,,,,,,
trimethoprim,Escherichia coli W,Computational Method,SIR XGBoost Model,PATRIC@patricbrc.org,"F1 score: 0.94, CI[0.91, 0.97]",True,,566546,566546.53,,,202503101,526f2759-377f-4020-96df-f4e9a3a64c6e,2025-07-14T21:46:54.290Z,2025-07-14T21:46:54.290Z,1837660535319953400,Resistant,,,,,,,
tobramycin,Escherichia coli W,Computational Method,SIR XGBoost Model,PATRIC@patricbrc.org,"F1 score: 0.92, CI[0.88, 0.96]",True,,566546,566546.53,,,202503101,2d0ba241-2e91-4833-83b0-9ee08086730f,2025-07-14T21:46:54.290Z,2025-07-14T21:46:54.290Z,1837660535321002000,Susceptible,,,,,,,
piperacillin/tazobactam,Escherichia coli W,Computational Method,SIR XGBoost Model,PATRIC@patricbrc.org,"F1 score: 0.80, CI[0.78, 0.82]",True,,566546,566546.53,,,202503101,9f0298c7-f68c-43a8-a122-95b7144ca736,2025-07-14T21:46:54.290Z,2025-07-14T21:46:54.290Z,1837660535321002000,Susceptible,,,,,,,
trimethoprim/sulfamethoxazole,Escherichia coli W,Computational Method,MIC XGBoost Model,PATRIC@patricbrc.org,"W1 score: 0.81, CI[0.76, 0.85]",True,64.0,566546,566546.52,64.0,mg/L,202503101,515a6d73-eb38-4cb6-b5ac-091690745fbf,2025-07-14T21:11:15.037Z,2025-07-14T21:11:15.037Z,1840540449767424000,,,,,,,,
trimethoprim/sulfamethoxazole,Escherichia coli W,Computational Method,SIR XGBoost Model,PATRIC@patricbrc.org,"F1 score: 0.94, CI[0.94, 0.95]",True,,566546,566546.52,,,202503101,62632a86-af70-4a33-985c-05691b73b0ce,2025-07-14T21:46:54.279Z,2025-07-14T21:46:54.279Z,1840540479339364400,Resistant,,,,,,,
amoxicillin/clavulanic acid,Escherichia coli W,Computational Method,MIC XGBoost Model,PATRIC@patricbrc.org,"W1 score: 0.97, CI[0.96, 0.98]",True,8.0,566546,566546.52,8.0,mg/L,202503101,d9c56f87-f705-4158-aa0f-6d64bb4e5bb7,2025-07-14T21:11:15.064Z,2025-07-14T21:11:15.064Z,1837658264941101000,,,,,,,,
amikacin,Escherichia coli W,Computational Method,MIC XGBoost Model,PATRIC@patricbrc.org,"W1 score: 0.97, CI[0.96, 0.98]",True,2.0,566546,566546.52,2.0,mg/L,202503101,0242ec52-778c-470c-b28d-64ebf6aeea57,2025-07-14T21:11:15.064Z,2025-07-14T21:11:15.064Z,1837658264941101000,,,,,,,,
ampicillin,Escherichia coli W,Computational Method,MIC XGBoost Model,PATRIC@patricbrc.org,"W1 score: 0.87, CI[0.82, 0.92]",True,8.0,566546,566546.52,8.0,mg/L,202503101,6a046a6d-edad-4d74-b9eb-35b5272e6f8a,2025-07-14T21:11:15.064Z,2025-07-14T21:11:15.064Z,1837658264941101000,,,,,,,,
aztreonam,Escherichia coli W,Computational Method,MIC XGBoost Model,PATRIC@patricbrc.org,"W1 score: 0.61, CI[0.50, 0.73]",True,4.0,566546,566546.52,4.0,mg/L,202503101,18feca8e-2939-4f3a-9727-a361af6a68b9,2025-07-14T21:11:15.064Z,2025-07-14T21:11:15.064Z,1837658264941101000,,,,,,,,
ceftazidime,Escherichia coli W,Computational Method,MIC XGBoost Model,PATRIC@patricbrc.org,"W1 score: 0.88, CI[0.86, 0.90]",True,4.0,566546,566546.52,4.0,mg/L,202503101,63fb83c4-5cdd-4917-824a-618725c7058a,2025-07-14T21:11:15.064Z,2025-07-14T21:11:15.064Z,1837658264941101000,,,,,,,,
cefazolin,Escherichia coli W,Computational Method,MIC XGBoost Model,PATRIC@patricbrc.org,"W1 score: 0.86, CI[0.82, 0.90]",True,16.0,566546,566546.52,16.0,mg/L,202503101,51742e8d-e7b7-4451-aafc-32995c26fb0c,2025-07-14T21:11:15.064Z,2025-07-14T21:11:15.064Z,1837658264957878300,,,,,,,,
chloramphenicol,Escherichia coli W,Computational Method,MIC XGBoost Model,PATRIC@patricbrc.org,"W1 score: 0.77, CI[0.71, 0.83]",True,16.0,566546,566546.52,16.0,mg/L,202503101,f3214a9e-8b88-4030-aac9-2c2eccca9cef,2025-07-14T21:11:15.064Z,2025-07-14T21:11:15.064Z,1837658264957878300,,,,,,,,
ciprofloxacin,Escherichia coli W,Computational Method,MIC XGBoost Model,PATRIC@patricbrc.org,"W1 score: 0.95, CI[0.93, 0.97]",True,0.25,566546,566546.52,0.25,mg/L,202503101,af6b2271-5fc6-4b70-9efd-d2bda3405aa7,2025-07-14T21:11:15.064Z,2025-07-14T21:11:15.064Z,1837658264957878300,,,,,,,,
ceftriaxone,Escherichia coli W,Computational Method,MIC XGBoost Model,PATRIC@patricbrc.org,"W1 score: 0.83, CI[0.74, 0.91]",True,1.0,566546,566546.52,1.0,mg/L,202503101,1dcfc1d9-ad41-4da9-b353-c5ee9cbd96be,2025-07-14T21:11:15.064Z,2025-07-14T21:11:15.064Z,1837658264957878300,,,,,,,,
colistin,Escherichia coli W,Computational Method,MIC XGBoost Model,PATRIC@patricbrc.org,"W1 score: 0.80, CI[0.64, 0.96]",True,1.0,566546,566546.52,1.0,mg/L,202503101,5bfa76d4-cfc9-4b73-93be-f66e4bc8eab5,2025-07-14T21:11:15.064Z,2025-07-14T21:11:15.064Z,1837658264957878300,,,,,,,,
cefotetan,Escherichia coli W,Computational Method,MIC XGBoost Model,PATRIC@patricbrc.org,"W1 score: 1.00, CI[1.00, 1.00]",True,32.0,566546,566546.52,32.0,mg/L,202503101,72911a30-bfb6-4571-80fd-9dc24d5f6513,2025-07-14T21:11:15.064Z,2025-07-14T21:11:15.064Z,1837658264957878300,,,,,,,,
cefotaxime,Escherichia coli W,Computational Method,MIC XGBoost Model,PATRIC@patricbrc.org,"W1 score: 0.90, CI[0.88, 0.91]",True,1.0,566546,566546.52,1.0,mg/L,202503101,7bd2cd93-0eb8-4524-b85f-c95f67a5f381,2025-07-14T21:11:15.064Z,2025-07-14T21:11:15.064Z,1837658264957878300,,,,,,,,
cefuroxime,Escherichia coli W,Computational Method,MIC XGBoost Model,PATRIC@patricbrc.org,"W1 score: 0.62, CI[0.26, 0.97]",True,8.0,566546,566546.52,8.0,mg/L,202503101,acedc399-3e72-49e4-924b-dade34eb5817,2025-07-14T21:11:15.064Z,2025-07-14T21:11:15.064Z,1837658264957878300,,,,,,,,
