assembly_accession,bioproject_accession,biosample_accession,cell_shape,class,common_name,completion_date,contigs,culture_collection,date_inserted,date_modified,family,gc_content,genbank_accessions,genome_id,genome_length,genome_name,genome_status,genus,gram_stain,habitat,kingdom,motility,order,owner,oxygen_requirement,patric_cds,phylum,plasmids,public,publication,refseq_cds,sequencing_centers,species,strain,taxon_id,temperature_range,superkingdom,cds,sequencing_status,taxon_lineage_ids,comments,taxon_lineage_names,_version_,contig_n50,hypothetical_cds_ratio,contig_l50,rrna,partial_cds_ratio,lab_host,trna,chromosomes,host_name,cds_ratio,partial_cds,plfam_cds_ratio,disease,checkm_completeness,checkm_contamination,coarse_consistency,fine_consistency,genome_quality,hypothetical_cds,mlst,p2_genome_id,plfam_cds,genome_quality_flags,assembly_method,ncbi_project_id,organism_name,refseq_accessions,sequencing_depth,sequencing_platform,serovar,optimal_temperature,refseq_project_id,sporulation,cgmlst_id,cgmlst_hc0,cgmlst_hc2,cgmlst_hc5,cgmlst_hc10,cgmlst_hc20,cgmlst_hc50,cgmlst_hc100,collection_year,collection_date,geographic_location,host_common_name,host_group,host_health,isolation_country,isolation_source,host_scientific_name,geographic_group,pathovar,additional_metadata,type_strain,isolation_comments,other_clinical,passage,other_typing,sra_accession,state_province,antimicrobial_resistance_evidence,body_sample_site,antimicrobial_resistance,host_age,host_gender,other_environmental,salinity,reference_genome,longitude,latitude,isolation_site
GCA_000010765.1,PRJDA32513,SAMD00060957,Bacilli,Gammaproteobacteria,Escherichia_coli_O111_H_str_11128,2016-10-07T00:00:00Z,1,,2017-12-29T17:14:49.941Z,2017-12-29T17:14:49.941Z,Enterobacteriaceae,49.99,AP010963,585396.35,77690,Escherichia coli O111:H- str. 11128,Plasmid,Escherichia,Negative,,Pseudomonadati,,Enterobacterales,PATRIC@patricbrc.org,Facultative,105.0,Pseudomonadota,1.0,True,19815525,90.0,"University of Tokyo, Graduate School of Frontier Sciences",Escherichia coli,11128,585396,Mesophilic,Bacteria,105,Plasmid,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '561', '562', '168927', '585396']",['Escherichia coli O111:H- str. 11128. An enterohemorrhagic E. coli (EHEC) strain. This strain will be used for comparative genome analysis.'],"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Escherichia', 'Escherichia coli', 'Escherichia coli O111', 'Escherichia coli O111']",1818556709921095700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O111:H-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000022345.1,PRJNA33775,SAMN02603900,Rod,Gammaproteobacteria,Escherichia_coli_BW2952,2009-06-04T00:00:00Z,1,,2014-12-08T22:11:22.651Z,2015-03-16T03:17:09.594Z,Enterobacteriaceae,50.8,CP001396,595496.3,4578159,Escherichia coli BW2952,Complete,Escherichia,-,Multiple,Pseudomonadati,Yes,Enterobacterales,PATRIC,Facultative,4494.0,Pseudomonadota,0.0,True,19376874,4084.0,"TEDA School of Biological Sciences and Biotechnology, Nankai University",Escherichia coli,BW2952,595496,Mesophilic,Bacteria,4494,Complete,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '561', '562', '83333', '595496']",['Escherichia coli BW2952. Escherichia coli BW2952 is a strain MC4100 derivative containing a malG-lacZ fusion and will be used for comparative analysis with other E. coli strains.'],"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Escherichia', 'Escherichia coli', 'Escherichia coli K-12', 'Escherichia coli BW2952']",1851322307345121300,4578159.0,0.07,1.0,14.0,0.0,,87.0,1.0,,0.98,0.0,1.0,,100.0,0.0,99.9,99.4,Good,335.0,MLST.ecoli_achtman_4.10,60876.0,4494.0,,,33775,Escherichia coli BW2952,NC_012759,,,,-,59391,No,595496.3,51413,51016,2435,2435,2435,703,667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000496365.2,PRJNA221241,SAMN02469305,Bacilli,Gammaproteobacteria,Escherichia_coli_ATCC_BAA-2193,,1145,ATCC BAA-2193,2014-12-08T22:11:21.856Z,2015-03-16T03:17:09.594Z,Enterobacteriaceae,50.33,AYMX00000000,1404262.3,10844348,Escherichia coli ATCC BAA-2193,WGS,Escherichia,Negative,,Pseudomonadati,Motile,Enterobacterales,PATRIC,,10996.0,Pseudomonadota,0.0,True,,10656.0,American Type Culture Collection,Escherichia coli,ATCC BAA-2193,1404262,,Bacteria,10996,WGS,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '561', '562', '1404262']",['ATCC BAA-2193 Escherichia coli O45:H2 Genome sequencing'],"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Escherichia', 'Escherichia coli', 'Escherichia coli ATCC BAA-2193']",1818556717232816000,74784.0,0.15,43.0,13.0,0.0,,162.0,0.0,,1.01,0.0,1.0,,100.0,50.3,98.2,49.3,Poor,1691.0,MLST.Escherichia_coli_1.723,312077.0,10947.0,['Too many contigs'],CLC NGS Cell v. Oct-2013,PRJNA221241,Escherichia coli ATCC BAA-2193,-,89.7x,Illumina MiSeq,O45:H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA1156547,SAMN43493033,,Gammaproteobacteria,Escherichia_coli_str_K_12_substr_MG1655,2024-09-19T00:00:00Z,1,,2024-12-08T16:32:52.934Z,2024-12-08T16:32:52.934Z,Enterobacteriaceae,50.792057,CP169634,511145.1497,4628063,Escherichia coli str. K-12 substr. MG1655,Complete,Escherichia,,,Pseudomonadati,,Enterobacterales,BVBRC@patricbrc.org,,4622.0,Pseudomonadota,0.0,True,,4396.0,,Escherichia coli,K-12,511145,,Bacteria,4622,,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '561', '562', '83333', '511145']",,"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Escherichia', 'Escherichia coli', 'Escherichia coli K-12', 'Escherichia coli str. K-12 substr. MG1655']",1840553021707124700,4628063.0,0.25832972,1.0,21.0,0.009952402,,89.0,1.0,,0.99868995,46.0,0.9701428,,100.0,0.0,99.9,99.8,Good,300.0,"MLST.Escherichia_coli_1.10,MLST.Escherichia_coli_2.262",,4484.0,,Geneious v. 2024.0.7,,,,139x,Illumina NovaSeq,,,,,,,,,,,,,2021.0,2021-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000513035.1,PRJNA63279,SAMN02304041,,Gammaproteobacteria,Escherichia_coli_O157_H7_str_F8092B,2013-11-22T00:00:00Z,1,,2017-12-29T17:44:11.576Z,2017-12-29T17:44:11.576Z,Enterobacteriaceae,48.25,AVCD00000000,1343836.4,98062,Escherichia coli O157:H7 str. F8092B,Plasmid,Escherichia,,,Pseudomonadati,,Enterobacterales,PATRIC@patricbrc.org,,118.0,Pseudomonadota,1.0,True,,,USDA,Escherichia coli,F8092B,1343836,,Bacteria,118,Plasmid,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '561', '562', '83334', '1343836']",['Escherichia coli O157:H7 str. 78. This strain will be used for comparative genome analysis.'],"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Escherichia', 'Escherichia coli', 'Escherichia coli O157', 'Escherichia coli O157']",1830850928158179300,,,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,Celera Assembler v. 7.0,,,,25x,454; Illumina; PacBio,,,,,,,,,,,,,,,United States,Human,Human,enterohemorrhagic escherichia coli,USA,Human,Homo sapiens,,,,,,,,,,,,,,,,,,,,,
GCA_000488795.1,PRJNA183833,SAMN02436875,,Gammaproteobacteria,Escherichia_coli_910096-2,2013-10-25T00:00:00Z,202, ,2014-12-08T22:11:21.002Z,2015-03-16T03:17:09.594Z,Enterobacteriaceae,50.7,AXUA00000000,1269010.3,4993615,Escherichia coli 910096-2,WGS,Escherichia,,,Pseudomonadati,,Enterobacterales,PATRIC,,4932.0,Pseudomonadota,0.0,True,,5251.0,Washington University,Escherichia coli,910096-2,1269010,,Bacteria,4932,WGS,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '561', '562', '1269010']",['Human Microbiome Project (HMP) Reference Genomes'],"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Escherichia', 'Escherichia coli', 'Escherichia coli 910096-2']",1850435277728776200,84768.0,0.13,20.0,5.0,0.0,,61.0,0.0,"Human, Homo sapiens",0.99,0.0,1.0,,100.0,0.7,99.7,98.0,Good,629.0,"MLST.Escherichia_coli_1.550,MLST.Escherichia_coli_2.6",276433.0,4930.0,,Velvet v. 1.1.06,PRJNA183833,Escherichia coli 910096-2, ,79x,Illumina,,,,,1269010.3,20981,20981,20981,20981,20981,20981,20981,,,,Human,Human,,,,Homo sapiens,,,,,,,,,,,,,,,,,,,,,
,PRJEB64565,SAMEA114263437,,Gammaproteobacteria,Escherichia_coli_IS25,2024-09-01T00:00:00Z,23,,2025-02-05T23:03:36.011Z,2025-02-05T23:03:36.011Z,Enterobacteriaceae,50.856575,CAXVLU000000000,1432548.7,4672022,Escherichia coli IS25 CC00795,WGS,Escherichia,,,Pseudomonadati,,Enterobacterales,BVBRC@patricbrc.org,,4502.0,Pseudomonadota,0.0,True,,,,Escherichia coli,CC00795,1432548,,Bacteria,4502,,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '561', '562', '1432548']",,"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Escherichia', 'Escherichia coli', 'Escherichia coli IS25']",1840553076951351300,491319.0,0.24433585,4.0,3.0,0.0,,72.0,0.0,,0.9636085,0.0,0.9782319,,100.0,0.0,99.9,99.0,Good,346.0,"MLST.Escherichia_coli_1.3672,MLST.Escherichia_coli_2.315",,4404.0,,,,,,,,,,,,,,,,,,,,2018.0,2018-10-18,Australia,,,,Australia,,,Oceania,,,,,,,,,,,,,,,,,,,,
,PRJEB64565,SAMEA114263588,,Gammaproteobacteria,Escherichia_coli_IS25,2024-09-01T00:00:00Z,29,,2025-02-05T23:06:19.715Z,2025-02-05T23:06:19.715Z,Enterobacteriaceae,50.85716,CAXVLH000000000,1432548.4,4674343,Escherichia coli IS25 CC00870,WGS,Escherichia,,,Pseudomonadati,,Enterobacterales,BVBRC@patricbrc.org,,4505.0,Pseudomonadota,0.0,True,,,,Escherichia coli,CC00870,1432548,,Bacteria,4505,,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '561', '562', '1432548']",,"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Escherichia', 'Escherichia coli', 'Escherichia coli IS25']",1840553076951351300,376810.0,0.24417314,5.0,3.0,0.0,,73.0,0.0,,0.9637718,0.0,0.9786903,,100.0,0.0,99.9,98.9,Good,344.0,"MLST.Escherichia_coli_1.3672,MLST.Escherichia_coli_2.315",,4409.0,,,,,,,,,,,,,,,,,,,,2019.0,2019-10-24,Australia,,,,Australia,,,Oceania,,,,,,,,,,,,,,,,,,,,
,PRJEB64565,SAMEA114263492,,Gammaproteobacteria,Escherichia_coli_IS25,2024-09-01T00:00:00Z,69,,2025-02-05T23:06:10.443Z,2025-02-05T23:06:10.443Z,Enterobacteriaceae,50.70752,CAXVMN000000000,1432548.8,4957997,Escherichia coli IS25 CC01393,WGS,Escherichia,,,Pseudomonadati,,Enterobacterales,BVBRC@patricbrc.org,,4938.0,Pseudomonadota,0.0,True,,,,Escherichia coli,CC01393,1432548,,Bacteria,4938,,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '561', '562', '1432548']",,"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Escherichia', 'Escherichia coli', 'Escherichia coli IS25']",1840553076952400000,173843.0,0.26488456,8.0,6.0,0.0,,64.0,0.0,,0.99596673,0.0,0.96334547,,100.0,0.0,99.9,98.7,Good,531.0,"MLST.Escherichia_coli_2.43,MLST.Escherichia_coli_1.131",,4757.0,,,,,,,,,,,,,,,,,,,,2019.0,2019-03-21,Australia,,,,Australia,,,Oceania,,,,,,,,,,,,,,,,,,,,
,PRJEB64565,SAMEA114263500,,Gammaproteobacteria,Escherichia_coli_IS25,2024-09-01T00:00:00Z,61,,2025-02-05T23:09:22.091Z,2025-02-05T23:09:22.091Z,Enterobacteriaceae,50.7069,CAXVNU000000000,1432548.11,4965037,Escherichia coli IS25 CC01398,WGS,Escherichia,,,Pseudomonadati,,Enterobacterales,BVBRC@patricbrc.org,,4934.0,Pseudomonadota,0.0,True,,,,Escherichia coli,CC01398,1432548,,Bacteria,4934,,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '561', '562', '1432548']",,"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Escherichia', 'Escherichia coli', 'Escherichia coli IS25']",1840553076954497000,194139.0,0.2642886,8.0,3.0,0.0,,65.0,0.0,,0.9937489,0.0,0.96513987,,100.0,0.0,99.9,98.7,Good,526.0,"MLST.Escherichia_coli_2.43,MLST.Escherichia_coli_1.131",,4762.0,,,,,,,,,,,,,,,,,,,,2019.0,2019-03-21,Australia,,,,Australia,,,Oceania,,,,,,,,,,,,,,,,,,,,
